RevisionColumn,GenderID,SILC_Age,Units,periods,ValueColumn
"r_2","0","9","perc_pop_fig","2008","7.5"
"r_2","0","9","perc_pop_fig","2009","7.4"
"r_2","0","9","perc_pop_fig","2010","7.7"
"r_2","0","9","perc_pop_fig","2011","8.2"
"r_2","0","9","perc_pop_fig","2012","7.4"
"r_2","0","9","perc_pop_fig","2013","7.2"
"r_2","0","9","perc_pop_fig","2014","9.2"
"r_2","1","9","perc_pop_fig","2008","7.9"
"r_2","1","9","perc_pop_fig","2009","7.7"
"r_2","1","9","perc_pop_fig","2010","8.4"
"r_2","1","9","perc_pop_fig","2011","8.8"
"r_2","1","9","perc_pop_fig","2012","7.7"
"r_2","1","9","perc_pop_fig","2013","7.9"
"r_2","1","9","perc_pop_fig","2014","9.7"
"r_2","2","9","perc_pop_fig","2008","7"
"r_2","2","9","perc_pop_fig","2009","7.1"
"r_2","2","9","perc_pop_fig","2010","6.8"
"r_2","2","9","perc_pop_fig","2011","7.5"
"r_2","2","9","perc_pop_fig","2012","7"
"r_2","2","9","perc_pop_fig","2013","6.4"
"r_2","2","9","perc_pop_fig","2014","8.6"
"r_2","0","2","perc_pop_fig","2008","7.6"
"r_2","0","2","perc_pop_fig","2009","7.5"
"r_2","0","2","perc_pop_fig","2010","7.7"
"r_2","0","2","perc_pop_fig","2011","8.2"
"r_2","0","2","perc_pop_fig","2012","7.4"
"r_2","0","2","perc_pop_fig","2013","7.2"
"r_2","0","2","perc_pop_fig","2014","9.3"
"r_2","1","2","perc_pop_fig","2008","8"
"r_2","1","2","perc_pop_fig","2009","7.8"
"r_2","1","2","perc_pop_fig","2010","8.5"
"r_2","1","2","perc_pop_fig","2011","8.8"
"r_2","1","2","perc_pop_fig","2012","7.7"
"r_2","1","2","perc_pop_fig","2013","8"
"r_2","1","2","perc_pop_fig","2014","9.8"
"r_2","2","2","perc_pop_fig","2008","7.1"
"r_2","2","2","perc_pop_fig","2009","7.1"
"r_2","2","2","perc_pop_fig","2010","6.8"
"r_2","2","2","perc_pop_fig","2011","7.5"
"r_2","2","2","perc_pop_fig","2012","7.1"
"r_2","2","2","perc_pop_fig","2013","6.4"
"r_2","2","2","perc_pop_fig","2014","8.7"
"r_2","0","3","perc_pop_fig","2008","2.3"
"r_2","0","3","perc_pop_fig","2009","4.3"
"r_2","0","3","perc_pop_fig","2010","5"
"r_2","0","3","perc_pop_fig","2011","4.6"
"r_2","0","3","perc_pop_fig","2012","5.6"
"r_2","0","3","perc_pop_fig","2013","3.1"
"r_2","0","3","perc_pop_fig","2014","3"
"r_2","1","3","perc_pop_fig","2008","0.8"
"r_2","1","3","perc_pop_fig","2009","2.9"
"r_2","1","3","perc_pop_fig","2010","4"
"r_2","1","3","perc_pop_fig","2011","4.8"
"r_2","1","3","perc_pop_fig","2012","6.4"
"r_2","1","3","perc_pop_fig","2013","4.3"
"r_2","1","3","perc_pop_fig","2014","3.3"
"r_2","2","3","perc_pop_fig","2008","5.8"
"r_2","2","3","perc_pop_fig","2009","7.7"
"r_2","2","3","perc_pop_fig","2010","6.9"
"r_2","2","3","perc_pop_fig","2011","4.3"
"r_2","2","3","perc_pop_fig","2012","4.1"
"r_2","2","3","perc_pop_fig","2013","1.3"
"r_2","2","3","perc_pop_fig","2014","2.7"
"r_3","0","9","perc_pop_fig","2015","7.7"
"r_3","1","9","perc_pop_fig","2015","8.2"
"r_3","2","9","perc_pop_fig","2015","7.2"
"r_3","0","2","perc_pop_fig","2015","7.8"
"r_3","1","2","perc_pop_fig","2015","8.3"
"r_3","2","2","perc_pop_fig","2015","7.2"
"r_3","0","3","perc_pop_fig","2015","4.2"
"r_3","1","3","perc_pop_fig","2015","3.3"
"r_3","2","3","perc_pop_fig","2015","5"
"r_4","0","9","perc_pop_fig","2016","11.4"
"r_4","1","9","perc_pop_fig","2016","13"
"r_4","2","9","perc_pop_fig","2016","9.6"
"r_4","0","2","perc_pop_fig","2016","11.6"
"r_4","1","2","perc_pop_fig","2016","13.2"
"r_4","2","2","perc_pop_fig","2016","9.7"
"r_4","0","3","perc_pop_fig","2016","3.6"
"r_4","1","3","perc_pop_fig","2016","2.6"
"r_4","2","3","perc_pop_fig","2016","4.6"
"r_5","0","9","perc_pop_fig","2017","9.9"
"r_5","1","9","perc_pop_fig","2017","11.3"
"r_5","2","9","perc_pop_fig","2017","8.3"
"r_5","0","2","perc_pop_fig","2017","10"
"r_5","1","2","perc_pop_fig","2017","11.3"
"r_5","2","2","perc_pop_fig","2017","8.4"
"r_5","0","3","perc_pop_fig","2017","6.8"
"r_5","1","3","perc_pop_fig","2017","7.9"
"r_5","2","3","perc_pop_fig","2017","5.6"
"r_6","0","9","perc_pop_fig","2018","9.9"
"r_6","1","9","perc_pop_fig","2018","11.2"
"r_6","2","9","perc_pop_fig","2018","8.4"
"r_6","0","2","perc_pop_fig","2018","10.1"
"r_6","1","2","perc_pop_fig","2018","11.5"
"r_6","2","2","perc_pop_fig","2018","8.6"
"r_6","0","3","perc_pop_fig","2018","2.6"
"r_6","1","3","perc_pop_fig","2018","2.7"
"r_6","2","3","perc_pop_fig","2018","2.5"
"r_7","0","9","perc_pop_fig","2019","8.9"
"r_7","1","9","perc_pop_fig","2019","9.6"
"r_7","2","9","perc_pop_fig","2019","8.1"
"r_7","0","2","perc_pop_fig","2019","9"
"r_7","1","2","perc_pop_fig","2019","9.7"
"r_7","2","2","perc_pop_fig","2019","8.2"
"r_7","0","3","perc_pop_fig","2019","5.1"
"r_7","1","3","perc_pop_fig","2019","6.7"
"r_7","2","3","perc_pop_fig","2019","2.8"
"r_8","0","9","perc_pop_fig","2020","9.6"
"r_8","1","9","perc_pop_fig","2020","10.5"
"r_8","2","9","perc_pop_fig","2020","8.4"
"r_8","0","2","perc_pop_fig","2020","9.7"
"r_8","1","2","perc_pop_fig","2020","10.6"
"r_8","2","2","perc_pop_fig","2020","8.5"
"r_8","0","3","perc_pop_fig","2020","6.7"
"r_8","1","3","perc_pop_fig","2020","8.4"
"r_8","2","3","perc_pop_fig","2020","4.7"
"r_9","0","9","perc_pop_fig","2021","10"
"r_9","1","9","perc_pop_fig","2021","11.2"
"r_9","2","9","perc_pop_fig","2021","8.4"
"r_9","0","2","perc_pop_fig","2021","10"
"r_9","1","2","perc_pop_fig","2021","11.3"
"r_9","2","2","perc_pop_fig","2021","8.5"
"r_9","0","3","perc_pop_fig","2021","8.4"
"r_9","1","3","perc_pop_fig","2021","8.9"
"r_9","2","3","perc_pop_fig","2021","7.7"
"r_10","0","9","perc_pop_fig","2022","9.7"
"r_10","1","9","perc_pop_fig","2022","11.1"
"r_10","2","9","perc_pop_fig","2022","8.1"
"r_10","0","2","perc_pop_fig","2022","10"
"r_10","1","2","perc_pop_fig","2022","11.5"
"r_10","2","2","perc_pop_fig","2022","8.3"
"r_10","0","3","perc_pop_fig","2022","3.8"
"r_10","1","3","perc_pop_fig","2022","2.6"
"r_10","2","3","perc_pop_fig","2022","5.1"
"r_11","0","9","perc_pop_fig","2023","11.4"
"r_11","1","9","perc_pop_fig","2023","12.5"
"r_11","2","9","perc_pop_fig","2023","10.1"
"r_11","0","2","perc_pop_fig","2023","11.7"
