RevisionColumn,periods,Units,EKATTE_Hlth,HlthEst_2011_2013,HlthEst_measures,ValueColumn
"r_1","2011","num","BG","1","Est","344"
"r_1","2011","num","BG","1","Beds","47391"
"r_1","2011","num","BG","1.1","Est","167"
"r_1","2011","num","BG","1.1","Beds","31546"
"r_1","2011","num","BG","1.2","Est","148"
"r_1","2011","num","BG","1.2","Beds","13265"
"r_1","2011","num","BG","1.3","Est","10"
"r_1","2011","num","BG","1.3","Beds","100"
"r_1","2011","num","BG","1.4","Est","7"
"r_1","2011","num","BG","1.4","Beds","1152"
"r_1","2011","num","BG","1.5","Est","12"
"r_1","2011","num","BG","1.5","Beds","1328"
"r_1","2011","num","BG","2","Est","1770"
"r_1","2011","num","BG","2","Beds","924"
"r_1","2011","num","BG","2.1","Est","121"
"r_1","2011","num","BG","2.1","Beds","263"
"r_1","2011","num","BG","2.2","Est","559"
"r_1","2011","num","BG","2.2","Beds","617"
"r_1","2011","num","BG","2.3","Est","49"
"r_1","2011","num","BG","2.4","Est","35"
"r_1","2011","num","BG","2.4","Beds","38"
"r_1","2011","num","BG","2.5","Est","1006"
"r_1","2011","num","BG","3","Est","150"
"r_1","2011","num","BG","3","Beds","4546"
"r_1","2011","num","BG3","1","Est","163"
"r_1","2011","num","BG3","1","Beds","21007"
"r_1","2011","num","BG3","1.1","Est","81"
"r_1","2011","num","BG3","1.1","Beds","14176"
"r_1","2011","num","BG3","1.2","Est","63"
"r_1","2011","num","BG3","1.2","Beds","5141"
"r_1","2011","num","BG3","1.3","Est","7"
"r_1","2011","num","BG3","1.3","Beds","70"
"r_1","2011","num","BG3","1.4","Est","6"
"r_1","2011","num","BG3","1.4","Beds","912"
"r_1","2011","num","BG3","1.5","Est","6"
"r_1","2011","num","BG3","1.5","Beds","708"
"r_1","2011","num","BG3","2","Est","903"
"r_1","2011","num","BG3","2","Beds","455"
"r_1","2011","num","BG3","2.1","Est","53"
"r_1","2011","num","BG3","2.1","Beds","149"
"r_1","2011","num","BG3","2.2","Est","294"
"r_1","2011","num","BG3","2.2","Beds","291"
"r_1","2011","num","BG3","2.3","Est","23"
"r_1","2011","num","BG3","2.4","Est","8"
"r_1","2011","num","BG3","2.4","Beds","11"
"r_1","2011","num","BG3","2.5","Est","525"
"r_1","2011","num","BG3","3","Est","84"
"r_1","2011","num","BG3","3","Beds","3006"
"r_1","2011","num","BG31","1","Est","40"
"r_1","2011","num","BG31","1","Beds","5383"
"r_1","2011","num","BG31","1.1","Est","25"
"r_1","2011","num","BG31","1.1","Beds","4064"
"r_1","2011","num","BG31","1.2","Est","12"
