Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"SZCLS_EMPL","","Големина на групата според броя на заетите лица","Size class by employed"
"SZCLS_EMPL","0","Общо","Total"
"SZCLS_EMPL","1","0 - 9","0 - 9"
"SZCLS_EMPL","4","10 - 49","10 - 49"
"SZCLS_EMPL","5","50 - 249","50 - 249"
"SZCLS_EMPL","6","250 +","250 +"
"NUTS","","NUTS","NUTS"
"NUTS","BG","Общо за страната","Total for the country"
"NUTS","BG3","Северна и Югоизточна България","North and SouthEast Bulgaria"
"NUTS","BG31","Северозападен","Severozapaden"
"NUTS","BG32","Северен централен","Severen tsentralen"
"NUTS","BG33","Североизточен","Severoiztochen"
"NUTS","BG34","Югоизточен","Yugoiztochen"
"NUTS","BG4","Югозападна и Южна централна България","Southwest and Central South Bulgaria"
"NUTS","BG41","Югозападен","Yugozapaden"
"NUTS","BG42","Южен централен","Yuzhen tsentralen"
"Units","","Мерни единици","Measuring units"
"Units","1000BGN","хиляди левове","Thousand BGN"
"Units","num","брой","Number"
"Indicators","","Показатели","Indicators"
"Indicators","3.1.1.03.1","Предприятия","Enterprises"
"Indicators","3.1.1.03.2","Заети лица","Persons employed"
"Indicators","3.1.1.03.3","Дълготрайни материални активи","Tangible fixed assets"
"Indicators","3.1.1.03.4","Приходи от дейността","Revenues"
"Indicators","3.1.1.03.5","Разходи за  дейността","Expenditure"
