RevisionColumn,NUTS,SILC_Age,periods,ValueColumn
"r_2","BG","0","2008","6.5"
"r_2","BG","0","2009","5.9"
"r_2","BG","0","2010","5.9"
"r_2","BG","0","2011","6.5"
"r_2","BG","0","2012","6.1"
"r_2","BG","0","2013","6.6"
"r_2","BG","0","2014","6.8"
"r_2","BG","3","2008","4"
"r_2","BG","3","2009","4"
"r_2","BG","3","2010","4.5"
"r_2","BG","3","2011","4.7"
"r_2","BG","3","2012","4.3"
"r_2","BG","3","2013","4.6"
"r_2","BG","3","2014","4.2"
"r_2","BG","13","2008","6.8"
"r_2","BG","13","2009","5.9"
"r_2","BG","13","2010","5.9"
"r_2","BG","13","2011","6.8"
"r_2","BG","13","2012","6.6"
"r_2","BG","13","2013","7"
"r_2","BG","13","2014","7.6"
"r_2","BG31","0","2008","7.7"
"r_2","BG31","0","2009","6.8"
"r_2","BG31","0","2010","6.2"
"r_2","BG31","0","2011","6.7"
"r_2","BG31","0","2012","6.3"
"r_2","BG31","0","2013","5.4"
"r_2","BG31","0","2014","6"
"r_2","BG311","0","2008","(6.1)"
"r_2","BG311","0","2009","(9.9)"
"r_2","BG311","0","2010","6.5"
"r_2","BG311","0","2011","(9.3)"
"r_2","BG311","0","2012","(10.8)"
"r_2","BG311","0","2013","(7.3)"
"r_2","BG311","0","2014","(9.8)"
"r_2","BG313","0","2008","7.2"
"r_2","BG313","0","2009","6.7"
"r_2","BG313","0","2010","5.6"
"r_2","BG313","0","2011","6.3"
"r_2","BG313","0","2012","6.2"
"r_2","BG313","0","2013","6.6"
"r_2","BG313","0","2014","8.6"
"r_2","BG315","0","2008","6.5"
"r_2","BG315","0","2009","7"
"r_2","BG315","0","2010","7.4"
"r_2","BG315","0","2011","5.9"
"r_2","BG315","0","2012","4.7"
"r_2","BG315","0","2013","6.1"
"r_2","BG315","0","2014","4.9"
"r_2","BG312","0","2008","(16.7)"
"r_2","BG312","0","2009","10.9"
"r_2","BG312","0","2010","7.5"
"r_2","BG312","0","2011","5.8"
"r_2","BG312","0","2012","6.2"
"r_2","BG312","0","2013","(4.8)"
"r_2","BG312","0","2014","(7.1)"
"r_2","BG314","0","2008","5.5"
"r_2","BG314","0","2009","4.5"
"r_2","BG314","0","2010","5.9"
"r_2","BG314","0","2011","6.9"
"r_2","BG314","0","2012","5.1"
"r_2","BG314","0","2013","4.5"
"r_2","BG314","0","2014","4.2"
"r_2","BG32","0","2008","6.8"
"r_2","BG32","0","2009","5.4"
"r_2","BG32","0","2010","5.6"
"r_2","BG32","0","2011","6.5"
"r_2","BG32","0","2012","5.3"
"r_2","BG32","0","2013","4.6"
"r_2","BG32","0","2014","5.4"
"r_2","BG321","0","2008","7.8"
"r_2","BG321","0","2009","6.2"
"r_2","BG321","0","2010","6.1"
"r_2","BG321","0","2011","8.9"
"r_2","BG321","0","2012","6.5"
"r_2","BG321","0","2013","5"
"r_2","BG321","0","2014","9.3"
"r_2","BG322","0","2008","(3.9)"
"r_2","BG322","0","2009","(4.5)"
"r_2","BG322","0","2010","4.2"
"r_2","BG322","0","2011","4.5"
"r_2","BG322","0","2012","(4.0)"
"r_2","BG322","0","2013","(3.8)"
"r_2","BG322","0","2014","(5.3)"
"r_2","BG324","0","2008","(5.3)"
"r_2","BG324","0","2009","(5.3)"
"r_2","BG324","0","2010","(6.0)"
"r_2","BG324","0","2011","(5.6)"
"r_2","BG324","0","2012","(5.9)"
"r_2","BG324","0","2013","(5.1)"
"r_2","BG324","0","2014","(4)"
"r_2","BG323","0","2008","5.9"
"r_2","BG323","0","2009","5.4"
"r_2","BG323","0","2010","4.6"
"r_2","BG323","0","2011","5.9"
"r_2","BG323","0","2012","4.5"
"r_2","BG323","0","2013","4.3"
"r_2","BG323","0","2014","4.2"
"r_2","BG325","0","2008","(9.7)"
"r_2","BG325","0","2009","(6.3)"
"r_2","BG325","0","2010","5.7"
"r_2","BG325","0","2011","(7.2)"
"r_2","BG325","0","2012","(6.2)"
"r_2","BG325","0","2013","5.8"
"r_2","BG325","0","2014","(4.6)"
"r_2","BG33","0","2008","6.4"
"r_2","BG33","0","2009","6"
"r_2","BG33","0","2010","5.6"
"r_2","BG33","0","2011","6.4"
"r_2","BG33","0","2012","6.1"
"r_2","BG33","0","2013","5.8"
"r_2","BG33","0","2014","6.4"
"r_2","BG331","0","2008","4.8"
"r_2","BG331","0","2009","5.7"
"r_2","BG331","0","2010","5.2"
"r_2","BG331","0","2011","5.8"
"r_2","BG331","0","2012","5.1"
"r_2","BG331","0","2013","5.5"
"r_2","BG331","0","2014","5.8"
"r_2","BG332","0","2008","9.6"
"r_2","BG332","0","2009","5.3"
"r_2","BG332","0","2010","6.2"
"r_2","BG332","0","2011","8.6"
"r_2","BG332","0","2012","7.5"
"r_2","BG332","0","2013","5.3"
"r_2","BG332","0","2014","6.8"
"r_2","BG334","0","2008","(4.4)"
"r_2","BG334","0","2009","6.5"
"r_2","BG334","0","2010","5.2"
"r_2","BG334","0","2011","5.2"
"r_2","BG334","0","2012","(6.3)"
"r_2","BG334","0","2013","(4.7)"
"r_2","BG334","0","2014","(8.5)"
"r_2","BG333","0","2008","8.7"
"r_2","BG333","0","2009","7.8"
"r_2","BG333","0","2010","6.6"
"r_2","BG333","0","2011","6.1"
"r_2","BG333","0","2012","8"
"r_2","BG333","0","2013","7.5"
"r_2","BG333","0","2014","6.3"
"r_2","BG34","0","2008","7"
"r_2","BG34","0","2009","6.8"
"r_2","BG34","0","2010","6.7"
"r_2","BG34","0","2011","6.7"
"r_2","BG34","0","2012","7.4"
"r_2","BG34","0","2013","7.3"
"r_2","BG34","0","2014","7.3"
"r_2","BG341","0","2008","6.9"
"r_2","BG341","0","2009","6"
"r_2","BG341","0","2010","6.3"
"r_2","BG341","0","2011","6.1"
"r_2","BG341","0","2012","5.5"
"r_2","BG341","0","2013","6.8"
"r_2","BG341","0","2014","7.2"
"r_2","BG342","0","2008","6.4"
"r_2","BG342","0","2009","8.4"
"r_2","BG342","0","2010","7.4"
"r_2","BG342","0","2011","8.5"
"r_2","BG342","0","2012","12.6"
"r_2","BG342","0","2013","6.9"
"r_2","BG342","0","2014","13.9"
"r_2","BG344","0","2008","5.7"
"r_2","BG344","0","2009","5.7"
"r_2","BG344","0","2010","6.7"
"r_2","BG344","0","2011","7.3"
"r_2","BG344","0","2012","8.4"
"r_2","BG344","0","2013","9"
"r_2","BG344","0","2014","6"
"r_2","BG343","0","2008","7.9"
"r_2","BG343","0","2009","8"
"r_2","BG343","0","2010","6.6"
"r_2","BG343","0","2011","5.9"
"r_2","BG343","0","2012","(6.8)"
"r_2","BG343","0","2013","(5.9)"
"r_2","BG343","0","2014","(6.9)"
"r_2","BG41","0","2008","5.3"
"r_2","BG41","0","2009","4.8"
"r_2","BG41","0","2010","4.8"
"r_2","BG41","0","2011","5.6"
"r_2","BG41","0","2012","5.4"
"r_2","BG41","0","2013","6.1"
"r_2","BG41","0","2014","6.1"
"r_2","BG413","0","2008","3.7"
"r_2","BG413","0","2009","3.2"
"r_2","BG413","0","2010","3"
"r_2","BG413","0","2011","4.3"
"r_2","BG413","0","2012","3.5"
"r_2","BG413","0","2013","4"
"r_2","BG413","0","2014","4.8"
"r_2","BG415","0","2008","(4.6)"
"r_2","BG415","0","2009","(3.8)"
"r_2","BG415","0","2010","4.4"
"r_2","BG415","0","2011","7.5"
"r_2","BG415","0","2012","(5.5)"
"r_2","BG415","0","2013","(3.4)"
"r_2","BG415","0","2014","(3.3)"
"r_2","BG414","0","2008","(5.6)"
"r_2","BG414","0","2009","(4.6)"
"r_2","BG414","0","2010","4.1"
"r_2","BG414","0","2011","(3.9)"
"r_2","BG414","0","2012","(4.4)"
"r_2","BG414","0","2013","(6.1)"
"r_2","BG414","0","2014","(5.9)"
"r_2","BG412","0","2008","5.6"
"r_2","BG412","0","2009","5.5"
"r_2","BG412","0","2010","4.4"
"r_2","BG412","0","2011","5.1"
"r_2","BG412","0","2012","3.8"
"r_2","BG412","0","2013","4.7"
"r_2","BG412","0","2014","6.9"
"r_2","BG411","0","2008","5.7"
"r_2","BG411","0","2009","5"
"r_2","BG411","0","2010","4.8"
"r_2","BG411","0","2011","5"
"r_2","BG411","0","2012","5.5"
"r_2","BG411","0","2013","6.1"
"r_2","BG411","0","2014","5.6"
"r_2","BG42","0","2008","6.6"
"r_2","BG42","0","2009","5.7"
"r_2","BG42","0","2010","5.2"
"r_2","BG42","0","2011","5.4"
"r_2","BG42","0","2012","5.5"
"r_2","BG42","0","2013","7"
"r_2","BG42","0","2014","6.9"
"r_2","BG425","0","2008","(6.2)"
"r_2","BG425","0","2009","(4.8)"
"r_2","BG425","0","2010","4"
"r_2","BG425","0","2011","3.8"
"r_2","BG425","0","2012","4"
"r_2","BG425","0","2013","7"
"r_2","BG425","0","2014","(8.9)"
"r_2","BG423","0","2008","7.7"
"r_2","BG423","0","2009","7.3"
"r_2","BG423","0","2010","5.7"
"r_2","BG423","0","2011","7.5"
"r_2","BG423","0","2012","11.6"
"r_2","BG423","0","2013","10.5"
"r_2","BG423","0","2014","11.3"
"r_2","BG421","0","2008","6.2"
"r_2","BG421","0","2009","5.1"
"r_2","BG421","0","2010","5.1"
"r_2","BG421","0","2011","5.5"
"r_2","BG421","0","2012","4.8"
"r_2","BG421","0","2013","5.4"
"r_2","BG421","0","2014","5.1"
"r_2","BG424","0","2008","(7.4)"
"r_2","BG424","0","2009","(6.9)"
"r_2","BG424","0","2010","(4.1)"
