RevisionColumn,Units,Decile,periods,ValueColumn
"r_2","euro","1","2008","933"
"r_2","euro","1","2009","1193"
"r_2","euro","1","2010","1254"
"r_2","euro","1","2011","1172"
"r_2","euro","1","2012","1143"
"r_2","euro","1","2013","1187"
"r_2","euro","1","2014","1276"
"r_2","BGN_fig","1","2008","1825"
"r_2","BGN_fig","1","2009","2334"
"r_2","BGN_fig","1","2010","2453"
"r_2","BGN_fig","1","2011","2293"
"r_2","BGN_fig","1","2012","2235"
"r_2","BGN_fig","1","2013","2322"
"r_2","BGN_fig","1","2014","2496"
"r_2","euro","2","2008","1268"
"r_2","euro","2","2009","1618"
"r_2","euro","2","2010","1765"
"r_2","euro","2","2011","1645"
"r_2","euro","2","2012","1664"
"r_2","euro","2","2013","1713"
"r_2","euro","2","2014","1898"
"r_2","BGN_fig","2","2008","2480"
"r_2","BGN_fig","2","2009","3164"
"r_2","BGN_fig","2","2010","3453"
"r_2","BGN_fig","2","2011","3217"
"r_2","BGN_fig","2","2012","3254"
"r_2","BGN_fig","2","2013","3350"
"r_2","BGN_fig","2","2014","3712"
"r_2","euro","3","2008","1553"
"r_2","euro","3","2009","2030"
"r_2","euro","3","2010","2196"
"r_2","euro","3","2011","2064"
"r_2","euro","3","2012","2063"
"r_2","euro","3","2013","2135"
"r_2","euro","3","2014","2407"
"r_2","BGN_fig","3","2008","3038"
"r_2","BGN_fig","3","2009","3971"
"r_2","BGN_fig","3","2010","4294"
"r_2","BGN_fig","3","2011","4038"
"r_2","BGN_fig","3","2012","4035"
"r_2","BGN_fig","3","2013","4176"
"r_2","BGN_fig","3","2014","4708"
"r_2","euro","4","2008","1846"
"r_2","euro","4","2009","2441"
"r_2","euro","4","2010","2607"
"r_2","euro","4","2011","2467"
"r_2","euro","4","2012","2487"
"r_2","euro","4","2013","2528"
"r_2","euro","4","2014","2849"
"r_2","BGN_fig","4","2008","3610"
"r_2","BGN_fig","4","2009","4774"
"r_2","BGN_fig","4","2010","5098"
"r_2","BGN_fig","4","2011","4824"
"r_2","BGN_fig","4","2012","4865"
"r_2","BGN_fig","4","2013","4945"
"r_2","BGN_fig","4","2014","5573"
"r_2","euro","5","2008","2171"
"r_2","euro","5","2009","2828"
"r_2","euro","5","2010","3017"
"r_2","euro","5","2011","2914"
"r_2","euro","5","2012","2860"
"r_2","euro","5","2013","2924"
"r_2","euro","5","2014","3311"
"r_2","BGN_fig","5","2008","4247"
"r_2","BGN_fig","5","2009","5530"
"r_2","BGN_fig","5","2010","5900"
"r_2","BGN_fig","5","2011","5700"
"r_2","BGN_fig","5","2012","5593"
"r_2","BGN_fig","5","2013","5718"
"r_2","BGN_fig","5","2014","6476"
"r_2","euro","6","2008","2592"
"r_2","euro","6","2009","3222"
"r_2","euro","6","2010","3458"
"r_2","euro","6","2011","3392"
"r_2","euro","6","2012","3265"
"r_2","euro","6","2013","3396"
"r_2","euro","6","2014","3785"
"r_2","BGN_fig","6","2008","5070"
"r_2","BGN_fig","6","2009","6302"
"r_2","BGN_fig","6","2010","6764"
"r_2","BGN_fig","6","2011","6633"
"r_2","BGN_fig","6","2012","6387"
"r_2","BGN_fig","6","2013","6641"
"r_2","BGN_fig","6","2014","7403"
"r_2","euro","7","2008","3006"
"r_2","euro","7","2009","3767"
"r_2","euro","7","2010","4011"
"r_2","euro","7","2011","3907"
"r_2","euro","7","2012","3723"
"r_2","euro","7","2013","3912"
"r_2","euro","7","2014","4384"
"r_2","BGN_fig","7","2008","5880"
"r_2","BGN_fig","7","2009","7367"
"r_2","BGN_fig","7","2010","7844"
"r_2","BGN_fig","7","2011","7642"
"r_2","BGN_fig","7","2012","7281"
"r_2","BGN_fig","7","2013","7651"
"r_2","BGN_fig","7","2014","8574"
"r_2","euro","8","2008","3563"
"r_2","euro","8","2009","4486"
"r_2","euro","8","2010","4742"
"r_2","euro","8","2011","4676"
"r_2","euro","8","2012","4387"
"r_2","euro","8","2013","4717"
"r_2","euro","8","2014","5213"
"r_2","BGN_fig","8","2008","6968"
"r_2","BGN_fig","8","2009","8773"
"r_2","BGN_fig","8","2010","9275"
"r_2","BGN_fig","8","2011","9146"
"r_2","BGN_fig","8","2012","8581"
"r_2","BGN_fig","8","2013","9225"
"r_2","BGN_fig","8","2014","10196"
"r_2","euro","9","2008","4630"
"r_2","euro","9","2009","5829"
"r_2","euro","9","2010","6003"
"r_2","euro","9","2011","6018"
"r_2","euro","9","2012","5548"
"r_2","euro","9","2013","6123"
"r_2","euro","9","2014","6883"
"r_2","BGN_fig","9","2008","9055"
"r_2","BGN_fig","9","2009","11401"
"r_2","BGN_fig","9","2010","11740"
"r_2","BGN_fig","9","2011","11770"
"r_2","BGN_fig","9","2012","10850"
"r_2","BGN_fig","9","2013","11976"
"r_2","BGN_fig","9","2014","13462"
"r_3","euro","1","2015","1339"
"r_3","BGN_fig","1","2015","2619"
"r_3","euro","2","2015","1905"
"r_3","BGN_fig","2","2015","3727"
"r_3","euro","3","2015","2385"
"r_3","BGN_fig","3","2015","4665"
"r_3","euro","4","2015","2847"
"r_3","BGN_fig","4","2015","5569"
"r_3","euro","5","2015","3332"
"r_3","BGN_fig","5","2015","6516"
"r_3","euro","6","2015","3886"
"r_3","BGN_fig","6","2015","7600"
"r_3","euro","7","2015","4496"
"r_3","BGN_fig","7","2015","8793"
"r_3","euro","8","2015","5493"
"r_3","BGN_fig","8","2015","10743"
"r_3","euro","9","2015","7170"
"r_3","BGN_fig","9","2015","14023"
"r_5","euro","1","2016","1207"
"r_5","BGN_fig","1","2016","2360"
"r_5","euro","2","2016","1767"
"r_5","BGN_fig","2","2016","3456"
"r_5","euro","3","2016","2225"
"r_5","BGN_fig","3","2016","4352"
"r_5","euro","4","2016","2664"
"r_5","BGN_fig","4","2016","5210"
"r_5","euro","5","2016","3151"
"r_5","BGN_fig","5","2016","6163"
"r_5","euro","6","2016","3713"
"r_5","BGN_fig","6","2016","7263"
"r_5","euro","7","2016","4358"
"r_5","BGN_fig","7","2016","8524"
"r_5","euro","8","2016","5229"
"r_5","BGN_fig","8","2016","10227"
"r_5","euro","9","2016","6918"
