Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Indicators","","Показатели","Indicators"
"Indicators","3.5.1.2","Посещения на чужденци в България – общо","Arrivals of visitors from abroad to Bulgaria - total"
"Indicators","3.5.1.2.1","Посещения на чужденци в България с цел почивка и екскурзия","Arrivals of visitors from abroad to Bulgaria holiday and recreation purpose"
"Indicators","3.5.1.2.2","Посещения на чужденци в България със служебна цел","Arrivals of visitors from abroad to Bulgaria by professional purpose"
"Indicators","3.5.1.2.3","Посещения на чужденци в България с други цели","Arrivals of visitors from abroad to Bulgaria by other purposes"
"Units","","Мерни единици","Measuring units"
"Units","num","брой","Number"
"Countries_TOUR","","Ноаменклатура на страните за целите на статистиката на туризма","Nomenclature on the countries for tourism statistics purposes"
"Countries_TOUR","AT","Австрия","Austria"
"Countries_TOUR","BE","Белгия","Belgium"
"Countries_TOUR","CA","Канада","Canada"
"Countries_TOUR","CH","Швейцария","Switzerland"
"Countries_TOUR","CY","Кипър","Cyprus"
"Countries_TOUR","CZ","Чешка република","Czech Rep."
"Countries_TOUR","DE","Германия","Germany"
"Countries_TOUR","DK","Дания","Denmark"
"Countries_TOUR","ES","Испания","Spain"
"Countries_TOUR","EU","Европейски съюз","European Union"
"Countries_TOUR","FI","Финландия","Finland"
"Countries_TOUR","FR","Франция","France"
"Countries_TOUR","GB","Обединено кралство","United Kingdom"
"Countries_TOUR","GR","Гърция","Greece"
"Countries_TOUR","HR","Хърватия","Croatia"
"Countries_TOUR","HU","Унгария","Hungary"
"Countries_TOUR","IE","Ирландия","Ireland"
"Countries_TOUR","IL","Израел","Israel"
"Countries_TOUR","IT","Италия","Italy"
"Countries_TOUR","JP","Япония","Japan"
"Countries_TOUR","MK","Бивша югославска република Македония","FYROM"
"Countries_TOUR","MT","Малта","Malta"
"Countries_TOUR","NL","Нидерландия","Netherlands"
"Countries_TOUR","NO","Норвегия","Norway"
"Countries_TOUR","OTH","Други страни","Оther countries"
"Countries_TOUR","OTH_EU","Други страни от ЕС","Other countries from EU"
"Countries_TOUR","OTH_EUR","Други европейски страни","Other European countries"
"Countries_TOUR","PL","Полша","Poland"
"Countries_TOUR","PT","Португалия","Portugal"
"Countries_TOUR","RO","Румъния","Romania"
"Countries_TOUR","RoW","Останал свят","Rest of the world"
"Countries_TOUR","RS","Сърбия","Serbia"
"Countries_TOUR","RU","Руска федерация","Russian Federation"
"Countries_TOUR","SE","Швеция","Sweden"
"Countries_TOUR","SI","Словения","Slovenia"
"Countries_TOUR","SK","Словакия","Slovakia"
"Countries_TOUR","total","Общо","Total"
"Countries_TOUR","TR","Турция","Turkiye"
"Countries_TOUR","UA","Украйна","Ukraine"
"Countries_TOUR","US","САЩ","USA"
