RevisionColumn,GenderID,SILC_Activity,Units,periods,ValueColumn
"r_2","0","1","perc_pop_fig","2008","0.1"
"r_2","0","1","perc_pop_fig","2009","0.2"
"r_2","0","1","perc_pop_fig","2010","0.2"
"r_2","0","1","perc_pop_fig","2011","0.5"
"r_2","0","1","perc_pop_fig","2012","0.3"
"r_2","0","1","perc_pop_fig","2013","0.5"
"r_2","0","1","perc_pop_fig","2014","0.3"
"r_2","0","2","perc_pop_fig","2008","24.5"
"r_2","0","2","perc_pop_fig","2009","23.1"
"r_2","0","2","perc_pop_fig","2010","23.9"
"r_2","0","2","perc_pop_fig","2011","30"
"r_2","0","2","perc_pop_fig","2012","32.7"
"r_2","0","2","perc_pop_fig","2013","32.5"
"r_2","0","2","perc_pop_fig","2014","33.1"
"r_2","0","3","perc_pop_fig","2008","35.8"
"r_2","0","3","perc_pop_fig","2009","34.1"
"r_2","0","3","perc_pop_fig","2010","32.2"
"r_2","0","3","perc_pop_fig","2011","39.2"
"r_2","0","3","perc_pop_fig","2012","42.1"
"r_2","0","3","perc_pop_fig","2013","41.6"
"r_2","0","3","perc_pop_fig","2014","41.5"
"r_2","0","4","perc_pop_fig","2008","29.4"
"r_2","0","4","perc_pop_fig","2009","31.1"
"r_2","0","4","perc_pop_fig","2010","36.5"
"r_2","0","4","perc_pop_fig","2011","34.2"
"r_2","0","4","perc_pop_fig","2012","40.3"
"r_2","0","4","perc_pop_fig","2013","34.7"
"r_2","0","4","perc_pop_fig","2014","44.4"
"r_2","0","5","perc_pop_fig","2008","12.2"
"r_2","0","5","perc_pop_fig","2009","11.6"
"r_2","0","5","perc_pop_fig","2010","13.9"
"r_2","0","5","perc_pop_fig","2011","21"
"r_2","0","5","perc_pop_fig","2012","22.8"
"r_2","0","5","perc_pop_fig","2013","22.3"
"r_2","0","5","perc_pop_fig","2014","23.2"
"r_2","1","1","perc_pop_fig","2008","0.1"
"r_2","1","1","perc_pop_fig","2009","0.3"
"r_2","1","1","perc_pop_fig","2010","0.2"
"r_2","1","1","perc_pop_fig","2011","0.7"
"r_2","1","1","perc_pop_fig","2012","0.4"
"r_2","1","1","perc_pop_fig","2013","0.8"
"r_2","1","1","perc_pop_fig","2014","0.4"
"r_2","1","2","perc_pop_fig","2008","27.9"
"r_2","1","2","perc_pop_fig","2009","28.5"
"r_2","1","2","perc_pop_fig","2010","27.3"
"r_2","1","2","perc_pop_fig","2011","32.9"
"r_2","1","2","perc_pop_fig","2012","35.7"
"r_2","1","2","perc_pop_fig","2013","35"
"r_2","1","2","perc_pop_fig","2014","35.9"
"r_2","1","3","perc_pop_fig","2008","39.7"
"r_2","1","3","perc_pop_fig","2009","40.9"
"r_2","1","3","perc_pop_fig","2010","36.5"
"r_2","1","3","perc_pop_fig","2011","42.7"
"r_2","1","3","perc_pop_fig","2012","44.5"
"r_2","1","3","perc_pop_fig","2013","41.5"
"r_2","1","3","perc_pop_fig","2014","43.2"
"r_2","1","4","perc_pop_fig","2008","27"
"r_2","1","4","perc_pop_fig","2009","27"
"r_2","1","4","perc_pop_fig","2010","27.4"
"r_2","1","4","perc_pop_fig","2011","28.2"
"r_2","1","4","perc_pop_fig","2012","33.3"
"r_2","1","4","perc_pop_fig","2013","29.4"
"r_2","1","4","perc_pop_fig","2014","35.6"
"r_2","1","5","perc_pop_fig","2008","12.8"
"r_2","1","5","perc_pop_fig","2009","12.3"
"r_2","1","5","perc_pop_fig","2010","14.7"
"r_2","1","5","perc_pop_fig","2011","20.1"
"r_2","1","5","perc_pop_fig","2012","22.3"
"r_2","1","5","perc_pop_fig","2013","25.2"
"r_2","1","5","perc_pop_fig","2014","24.7"
"r_2","2","1","perc_pop_fig","2008","0.1"
"r_2","2","1","perc_pop_fig","2009","0.2"
"r_2","2","1","perc_pop_fig","2010","0.3"
"r_2","2","1","perc_pop_fig","2011","0.2"
"r_2","2","1","perc_pop_fig","2012","0.1"
"r_2","2","1","perc_pop_fig","2013","0.3"
"r_2","2","1","perc_pop_fig","2014","0.2"
"r_2","2","2","perc_pop_fig","2008","22"
"r_2","2","2","perc_pop_fig","2009","19.6"
"r_2","2","2","perc_pop_fig","2010","21.4"
"r_2","2","2","perc_pop_fig","2011","27.7"
"r_2","2","2","perc_pop_fig","2012","30"
"r_2","2","2","perc_pop_fig","2013","30.1"
"r_2","2","2","perc_pop_fig","2014","30.6"
"r_2","2","3","perc_pop_fig","2008","32.4"
"r_2","2","3","perc_pop_fig","2009","27.9"
"r_2","2","3","perc_pop_fig","2010","27.9"
"r_2","2","3","perc_pop_fig","2011","35.3"
"r_2","2","3","perc_pop_fig","2012","38.8"
"r_2","2","3","perc_pop_fig","2013","41.8"
"r_2","2","3","perc_pop_fig","2014","39.1"
"r_2","2","4","perc_pop_fig","2008","31.2"
"r_2","2","4","perc_pop_fig","2009","35"
"r_2","2","4","perc_pop_fig","2010","47"
"r_2","2","4","perc_pop_fig","2011","45.2"
"r_2","2","4","perc_pop_fig","2012","52"
"r_2","2","4","perc_pop_fig","2013","44.7"
"r_2","2","4","perc_pop_fig","2014","62.5"
"r_2","2","5","perc_pop_fig","2008","11.9"
"r_2","2","5","perc_pop_fig","2009","11.3"
"r_2","2","5","perc_pop_fig","2010","13.5"
"r_2","2","5","perc_pop_fig","2011","21.5"
"r_2","2","5","perc_pop_fig","2012","23"
"r_2","2","5","perc_pop_fig","2013","20.8"
"r_2","2","5","perc_pop_fig","2014","22.4"
"r_3","0","1","perc_pop_fig","2015","0.4"
"r_3","0","2","perc_pop_fig","2015","34.3"
"r_3","0","3","perc_pop_fig","2015","44.4"
"r_3","0","4","perc_pop_fig","2015","31.8"
"r_3","0","5","perc_pop_fig","2015","24.7"
"r_3","1","1","perc_pop_fig","2015","0.5"
"r_3","1","2","perc_pop_fig","2015","38.1"
"r_3","1","3","perc_pop_fig","2015","46.6"
"r_3","1","4","perc_pop_fig","2015","26.7"
"r_3","1","5","perc_pop_fig","2015","27"
"r_3","2","1","perc_pop_fig","2015","0.3"
"r_3","2","2","perc_pop_fig","2015","30.9"
"r_3","2","3","perc_pop_fig","2015","41.5"
"r_3","2","4","perc_pop_fig","2015","45.8"
"r_3","2","5","perc_pop_fig","2015","23.5"
"r_4","0","1","perc_pop_fig","2016","0.4"
"r_4","0","2","perc_pop_fig","2016","34.9"
"r_4","0","3","perc_pop_fig","2016","45.1"
"r_4","0","4","perc_pop_fig","2016","43.7"
"r_4","0","5","perc_pop_fig","2016","25.3"
"r_4","1","1","perc_pop_fig","2016","0.4"
"r_4","1","2","perc_pop_fig","2016","39.7"
"r_4","1","3","perc_pop_fig","2016","49.3"
"r_4","1","4","perc_pop_fig","2016","40.4"
"r_4","1","5","perc_pop_fig","2016","25.4"
"r_4","2","1","perc_pop_fig","2016","0.4"
"r_4","2","2","perc_pop_fig","2016","31"
"r_4","2","3","perc_pop_fig","2016","39.7"
"r_4","2","4","perc_pop_fig","2016","50.8"
"r_4","2","5","perc_pop_fig","2016","25.2"
"r_5","0","1","perc_pop_fig","2017","0.4"
"r_5","0","2","perc_pop_fig","2017","34.9"
"r_5","0","3","perc_pop_fig","2017","45"
"r_5","0","4","perc_pop_fig","2017","37.4"
"r_5","0","5","perc_pop_fig","2017","27.1"
"r_5","1","1","perc_pop_fig","2017","0.4"
"r_5","1","2","perc_pop_fig","2017","41.8"
"r_5","1","3","perc_pop_fig","2017","50.5"
"r_5","1","4","perc_pop_fig","2017","32.2"
"r_5","1","5","perc_pop_fig","2017","32.1"
"r_5","2","1","perc_pop_fig","2017","0.3"
"r_5","2","2","perc_pop_fig","2017","29.2"
"r_5","2","3","perc_pop_fig","2017","37.3"
"r_5","2","4","perc_pop_fig","2017","46.9"
"r_5","2","5","perc_pop_fig","2017","24.7"
"r_6","0","1","perc_pop_fig","2018","0.3"
"r_6","0","2","perc_pop_fig","2018","29.8"
"r_6","0","3","perc_pop_fig","2018","40.9"
"r_6","0","4","perc_pop_fig","2018","36.2"
"r_6","0","5","perc_pop_fig","2018","21.2"
"r_6","1","1","perc_pop_fig","2018","0.4"
"r_6","1","2","perc_pop_fig","2018","35.6"
"r_6","1","3","perc_pop_fig","2018","46.9"
"r_6","1","4","perc_pop_fig","2018","32.5"
"r_6","1","5","perc_pop_fig","2018","23.4"
"r_6","2","1","perc_pop_fig","2018","0.3"
"r_6","2","2","perc_pop_fig","2018","25.2"
"r_6","2","3","perc_pop_fig","2018","33.8"
"r_6","2","4","perc_pop_fig","2018","44"
"r_6","2","5","perc_pop_fig","2018","20.2"
"r_7","0","1","perc_pop_fig","2019","0.3"
"r_7","0","2","perc_pop_fig","2019","32.9"
"r_7","0","3","perc_pop_fig","2019","43.1"
"r_7","0","4","perc_pop_fig","2019","39.5"
"r_7","0","5","perc_pop_fig","2019","25.3"
"r_7","1","1","perc_pop_fig","2019","0.3"
"r_7","1","2","perc_pop_fig","2019","40.2"
"r_7","1","3","perc_pop_fig","2019","51"
"r_7","1","4","perc_pop_fig","2019","33.8"
"r_7","1","5","perc_pop_fig","2019","29.8"
"r_7","2","1","perc_pop_fig","2019","0.4"
"r_7","2","2","perc_pop_fig","2019","27.5"
"r_7","2","3","perc_pop_fig","2019","34"
"r_7","2","4","perc_pop_fig","2019","50.5"
"r_7","2","5","perc_pop_fig","2019","23.3"
"r_8","0","1","perc_pop_fig","2020","0.2"
"r_8","0","2","perc_pop_fig","2020","31.6"
"r_8","0","3","perc_pop_fig","2020","41.1"
"r_8","0","4","perc_pop_fig","2020","40.5"
"r_8","0","5","perc_pop_fig","2020","23.7"
"r_8","1","1","perc_pop_fig","2020","0.3"
"r_8","1","2","perc_pop_fig","2020","38.1"
"r_8","1","3","perc_pop_fig","2020","46.7"
"r_8","1","4","perc_pop_fig","2020","35.3"
"r_8","1","5","perc_pop_fig","2020","28.2"
"r_8","2","1","perc_pop_fig","2020","0.2"
"r_8","2","2","perc_pop_fig","2020","26.7"
"r_8","2","3","perc_pop_fig","2020","34.5"
"r_8","2","4","perc_pop_fig","2020","52"
"r_8","2","5","perc_pop_fig","2020","21.7"
